1,김길재,1,1,1
2,최재재,1,1,2
3,박석동,1,1,3
4,이현진,1,1,4
5,이석진,1,1,5
6,정동동,1,1,6
7,박석석,1,1,7
8,이석재,1,1,8
9,김수길,1,1,9
10,김동재,1,1,10
11,이수수,1,2,1
12,최동석,1,2,2
13,김동진,1,2,3
14,정명명,1,2,4
15,이길재,1,2,5
16,정진길,1,2,6
17,박재명,1,2,7
18,최재길,1,2,8
19,최길현,1,2,9
20,최명명,1,2,10
21,김석재,1,3,1
22,이동명,1,3,2
23,최석재,1,3,3
24,박재길,1,3,4
25,정동수,1,3,5
26,정수명,1,3,6
27,김길동,1,3,7
28,이동명,1,3,8
29,김석재,1,3,9
30,박현현,1,3,10
31,최길길,1,4,1
32,정재수,1,4,2
33,최현명,1,4,3
34,김재수,1,4,4
35,최현진,1,4,5
36,최수석,1,4,6
37,이동수,1,4,7
38,이석동,1,4,8
39,최진석,1,4,9
40,박수동,1,4,10
41,박동동,1,5,1
42,최현재,1,5,2
43,박동진,1,5,3
44,김명수,1,5,4
45,이현재,1,5,5
46,최수진,1,5,6
47,박동현,1,5,7
48,정수길,1,5,8
49,정수현,1,5,9
50,최길석,1,5,10
51,이수수,2,1,1
52,이진수,2,1,2
53,이현동,2,1,3
54,박길석,2,1,4
55,박수재,2,1,5
56,최동명,2,1,6
57,박재현,2,1,7
58,박수현,2,1,8
59,최현동,2,1,9
60,박명명,2,1,10
61,박진수,2,2,1
62,박길진,2,2,2
63,이재재,2,2,3
64,정석석,2,2,4
65,최석명,2,2,5
66,김수현,2,2,6
67,정명현,2,2,7
68,이석명,2,2,8
69,최동길,2,2,9
70,이현명,2,2,10
71,김수동,2,3,1
72,김현동,2,3,2
73,최명재,2,3,3
74,김현석,2,3,4
75,박동현,2,3,5
76,김수길,2,3,6
77,박길진,2,3,7
78,정현진,2,3,8
79,박현석,2,3,9
80,박재재,2,3,10
81,이현재,2,4,1
82,정명현,2,4,2
83,정재석,2,4,3
84,최석길,2,4,4
85,박길재,2,4,5
86,최현현,2,4,6
87,정길진,2,4,7
88,김진진,2,4,8
89,최재수,2,4,9
90,이명재,2,4,10
91,최현동,2,5,1
92,정동현,2,5,2
93,박동명,2,5,3
94,김길석,2,5,4
95,정진진,2,5,5
96,김진진,2,5,6
97,박석재,2,5,7
98,최석진,2,5,8
99,정석재,2,5,9
100,이재현,2,5,10
101,박현재,3,1,1
102,정길수,3,1,2
103,정현현,3,1,3
104,이재재,3,1,4
105,김진수,3,1,5
106,최현명,3,1,6
107,정재현,3,1,7
108,이동석,3,1,8
109,이재현,3,1,9
110,정동석,3,1,10
111,최현명,3,2,1
112,정석수,3,2,2
113,김명길,3,2,3
114,정명수,3,2,4
115,이동진,3,2,5
116,김동진,3,2,6
117,김길동,3,2,7
118,박길길,3,2,8
119,김진명,3,2,9
120,박석수,3,2,10
121,최수동,3,3,1
122,김동동,3,3,2
123,정수재,3,3,3
124,박수현,3,3,4
125,최동명,3,3,5
126,박명현,3,3,6
127,정동진,3,3,7
128,김현재,3,3,8
129,최재길,3,3,9
130,박석동,3,3,10
131,이석현,3,4,1
132,김동수,3,4,2
133,최재진,3,4,3
134,박길수,3,4,4
135,이길동,3,4,5
136,박수명,3,4,6
137,정명명,3,4,7
138,박재길,3,4,8
139,이길석,3,4,9
140,이진재,3,4,10
141,김명재,3,5,1
142,김현재,3,5,2
143,최진길,3,5,3
144,최석석,3,5,4
145,최재재,3,5,5
146,최동동,3,5,6
147,김수수,3,5,7
148,이명석,3,5,8
149,이동진,3,5,9
150,이명진,3,5,10
