1,최길명,1,1,1
2,이재명,1,1,2
3,최진석,1,1,3
4,박진진,1,1,4
5,박진석,1,1,5
6,최석명,1,1,6
7,이현길,1,1,7
8,정현진,1,1,8
9,최명수,1,1,9
10,김현길,1,1,10
11,박명동,1,2,1
12,정명동,1,2,2
13,정진수,1,2,3
14,김명재,1,2,4
15,최길길,1,2,5
16,최석재,1,2,6
17,정동명,1,2,7
18,이현길,1,2,8
19,이명진,1,2,9
20,정명현,1,2,10
21,박현수,1,3,1
22,이명길,1,3,2
23,정현동,1,3,3
24,김석진,1,3,4
25,박진동,1,3,5
26,이재수,1,3,6
27,이석현,1,3,7
28,이석명,1,3,8
29,최현동,1,3,9
30,이길명,1,3,10
31,이길재,1,4,1
32,박명길,1,4,2
33,최재수,1,4,3
34,박진동,1,4,4
35,박길현,1,4,5
36,정동현,1,4,6
37,정석수,1,4,7
38,김명길,1,4,8
39,정길현,1,4,9
40,김수명,1,4,10
41,이재현,1,5,1
42,박석수,1,5,2
43,정명재,1,5,3
44,이수동,1,5,4
45,정동재,1,5,5
46,박길수,1,5,6
47,최진동,1,5,7
48,정수재,1,5,8
49,정길수,1,5,9
50,정석길,1,5,10
51,정석재,2,1,1
52,박명명,2,1,2
53,박현진,2,1,3
54,정수현,2,1,4
55,김수석,2,1,5
56,정진석,2,1,6
57,김석동,2,1,7
58,정재길,2,1,8
59,박동진,2,1,9
60,이명길,2,1,10
61,박명수,2,2,1
62,김진수,2,2,2
63,박길수,2,2,3
64,최재진,2,2,4
65,김진재,2,2,5
66,박현길,2,2,6
67,이진현,2,2,7
68,김명길,2,2,8
69,최길현,2,2,9
70,김재진,2,2,10
71,이석진,2,3,1
72,이석길,2,3,2
73,김진명,2,3,3
74,정명현,2,3,4
75,이동명,2,3,5
76,박동진,2,3,6
77,박명명,2,3,7
78,김동재,2,3,8
79,박재명,2,3,9
80,이진현,2,3,10
81,이명명,2,4,1
82,박석재,2,4,2
83,정진명,2,4,3
84,최진명,2,4,4
85,박현수,2,4,5
86,이동수,2,4,6
87,최동명,2,4,7
88,이동진,2,4,8
89,이현동,2,4,9
90,이현길,2,4,10
91,최길수,2,5,1
92,이석길,2,5,2
93,박동수,2,5,3
94,박석재,2,5,4
95,이동석,2,5,5
96,김명수,2,5,6
97,이재재,2,5,7
98,김진재,2,5,8
99,정현현,2,5,9
100,박길수,2,5,10
101,최동석,3,1,1
102,박명재,3,1,2
103,이석진,3,1,3
104,최석동,3,1,4
105,이석명,3,1,5
106,이길길,3,1,6
107,박동재,3,1,7
108,이석현,3,1,8
109,최재명,3,1,9
110,박현석,3,1,10
111,정길동,3,2,1
112,박재수,3,2,2
113,김재현,3,2,3
114,정진진,3,2,4
115,김명재,3,2,5
116,이석수,3,2,6
117,정수동,3,2,7
118,이수수,3,2,8
119,정진수,3,2,9
120,이동현,3,2,10
121,정명수,3,3,1
122,김명재,3,3,2
123,박석길,3,3,3
124,최길수,3,3,4
125,이재명,3,3,5
126,최석현,3,3,6
127,박명현,3,3,7
128,정진현,3,3,8
129,최수재,3,3,9
130,이현진,3,3,10
131,이재석,3,4,1
132,이현진,3,4,2
133,최동재,3,4,3
134,김진현,3,4,4
135,최길명,3,4,5
136,이동재,3,4,6
137,최석명,3,4,7
138,정재현,3,4,8
139,정석재,3,4,9
140,최재수,3,4,10
141,박길동,3,5,1
142,이재동,3,5,2
143,박길진,3,5,3
144,김진석,3,5,4
145,김석명,3,5,5
146,정석석,3,5,6
147,김길석,3,5,7
148,정재길,3,5,8
149,이동길,3,5,9
150,이재길,3,5,10
151,홍길동,1,1,11
